date,min_temperature_c,max_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,max_wind_speed_kmh,max_pressure_hpa,rain_today
2020-06-20,9.0,21.6,0.2,2.8,6.8,24.0,1025.0,1
2020-06-21,9.4,19.4,4.4,1.4,5.0,43.0,1014.3,1
2020-06-22,9.4,16.9,0.6,2.0,4.3,39.0,1010.6,1
2020-06-23,8.0,16.6,0.0,2.0,8.6,44.0,1012.4,0
2020-06-24,8.0,18.6,0.0,3.6,5.4,43.0,1014.5,0
2020-06-25,9.9,19.3,0.0,2.2,9.3,41.0,1019.9,0
2020-06-26,9.2,19.6,0.0,3.0,8.7,33.0,1024.1,0
2020-06-27,9.4,16.8,1.2,2.6,2.7,33.0,1028.1,1
2020-06-28,8.9,16.3,0.2,2.4,2.0,41.0,1028.4,1
2020-06-29,9.4,16.5,6.8,2.6,1.7,26.0,1028.4,1
2020-06-30,8.5,17.7,1.2,0.8,8.0,24.0,1026.9,1
